Year,Obs Date,Weir Count Type,Maturity,Count
1987,10/8/1987,Counted live,Adult,6
1987,10/9/1987,Counted live,Adult,3
1987,10/12/1987,Counted live,Adult,79
1987,10/13/1987,Counted live,Adult,8
1987,10/15/1987,Counted live,Adult,2
1987,10/16/1987,Counted live,Adult,17
1987,10/17/1987,Counted live,Adult,5
1987,10/18/1987,Counted live,Adult,2
1987,10/19/1987,Counted live,Adult,7
1987,10/20/1987,Counted live,Adult,4
1987,10/21/1987,Counted live,Adult,2
1988,8/4/1988,Counted live,Adult,2
1988,8/8/1988,Counted live,Adult,3
1988,8/11/1988,Counted live,Adult,1
1988,8/12/1988,Counted live,Adult,1
1988,8/13/1988,Counted live,Adult,1
1988,8/14/1988,Counted live,Adult,1
1988,8/16/1988,Counted live,Adult,1
1988,8/19/1988,Counted live,Adult,1
1988,8/20/1988,Counted live,Adult,4
1988,8/21/1988,Counted live,Adult,2
1988,8/22/1988,Counted live,Adult,3
1988,8/23/1988,Counted live,Adult,9
1988,8/24/1988,Counted live,Adult,4
1988,8/25/1988,Counted live,Adult,10
1988,8/26/1988,Counted live,Adult,8
1988,8/27/1988,Counted live,Adult,11
1988,8/28/1988,Counted live,Adult,1
1988,8/29/1988,Counted live,Adult,33
1988,8/30/1988,Counted live,Adult,1
1988,8/31/1988,Counted live,Adult,2
1988,9/1/1988,Counted live,Adult,2
1988,9/2/1988,Counted live,Adult,15
1988,9/3/1988,Counted live,Adult,3
1988,9/4/1988,Counted live,Adult,11
1988,9/5/1988,Counted live,Adult,5
1988,9/6/1988,Counted live,Adult,8
1988,9/7/1988,Counted live,Adult,6
1988,9/8/1988,Counted live,Adult,3
1988,9/9/1988,Counted live,Adult,8
1988,9/10/1988,Counted live,Adult,45
1988,9/11/1988,Counted live,Adult,1
1988,9/12/1988,Counted live,Adult,5
1988,9/13/1988,Counted live,Adult,2
1988,9/14/1988,Counted live,Adult,2
1988,9/16/1988,Counted live,Adult,1
1988,9/18/1988,Counted live,Adult,1
1988,9/24/1988,Counted live,Adult,30
1988,9/26/1988,Counted live,Adult,1
1988,9/27/1988,Counted live,Adult,35
1988,9/29/1988,Counted live,Adult,180
1988,10/4/1988,Counted live,Adult,3
1988,10/6/1988,Counted live,Adult,2
1988,10/9/1988,Counted live,Adult,7
1988,10/13/1988,Counted live,Adult,3
1988,10/16/1988,Counted live,Adult,5
1989,5/3/1989,Counted live,Adult,52
1989,7/11/1989,Counted live,Adult,1
1989,7/29/1989,Counted live,Adult,1
1989,8/16/1989,Counted live,Adult,1
1989,8/21/1989,Counted live,Adult,7
1989,8/22/1989,Counted live,Adult,2
1989,8/26/1989,Counted live,Adult,3
1989,8/28/1989,Counted live,Adult,2
1989,8/29/1989,Counted live,Adult,4
1989,8/30/1989,Counted live,Adult,1
1989,9/2/1989,Counted live,Adult,1
1989,9/3/1989,Counted live,Adult,1
1989,9/4/1989,Counted live,Adult,4
1989,9/5/1989,Counted live,Adult,6
1989,9/7/1989,Counted live,Adult,3
1989,9/8/1989,Counted live,Adult,8
1989,9/9/1989,Counted live,Adult,6
1989,9/10/1989,Counted live,Adult,24
1989,9/12/1989,Counted live,Adult,13
1989,9/14/1989,Counted live,Adult,19
1989,9/15/1989,Counted live,Adult,2
1989,9/16/1989,Counted live,Adult,2
1989,9/17/1989,Counted live,Adult,1
1989,9/18/1989,Counted live,Adult,5
1989,9/19/1989,Counted live,Adult,10
1989,9/20/1989,Counted live,Adult,22
