Note: This spreadsheet may include values that are preliminary or unreviewed.,,,,,,,
Activity Start Date,Activity Start Time,Monitoring Location Name,Monitoring Location Latitude,Monitoring Location Longitude,Characteristic Name,Result Value,Result Unit
7/20/2016,9:30:00 AM,Boulder Creek,65.56783,-144.88885,pH,5.21,None
7/20/2016,9:30:00 AM,Boulder Creek,65.56783,-144.88885,"Temperature, water",7.07,deg C
7/20/2016,9:50:00 AM,Boulder Creek,65.56783,-144.88885,Total suspended solids,32.1,mg/l
7/20/2016,7:00:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,Dissolved oxygen (DO),11.9,mg/l
7/20/2016,7:00:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,pH,5.15,None
7/20/2016,7:00:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,Turbidity,3.75,NTU
7/20/2016,7:00:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,"Temperature, water",10.93,deg C
7/20/2016,7:00:00 PM,Porcupine Creek (above Bonanza),65.55971,-145.31584,Specific conductance,131,uS/cm
7/20/2016,7:20:00 PM,Bonanza Creek,65.55425,-145.32305,Specific conductance,144,uS/cm
7/20/2016,7:20:00 PM,Bonanza Creek,65.55425,-145.32305,Turbidity,0.89,NTU
7/20/2016,7:20:00 PM,Bonanza Creek,65.55425,-145.32305,Dissolved oxygen (DO),11.81,mg/l
7/20/2016,7:20:00 PM,Bonanza Creek,65.55425,-145.32305,pH,6.14,None
7/20/2016,7:20:00 PM,Bonanza Creek,65.55425,-145.32305,"Temperature, water",9.39,deg C
7/20/2016,8:00:00 PM,Mammoth Creek,65.55088,-145.17574,"Temperature, water",9.17,deg C
7/20/2016,8:00:00 PM,Mammoth Creek,65.55088,-145.17574,pH,6.22,None
7/20/2016,8:00:00 PM,Mammoth Creek,65.55088,-145.17574,Turbidity,23.3,NTU
7/20/2016,8:00:00 PM,Mammoth Creek,65.55088,-145.17574,Specific conductance,107,uS/cm
7/20/2016,8:00:00 PM,Mammoth Creek,65.55088,-145.17574,Dissolved oxygen (DO),11.16,mg/l
7/20/2016,8:30:00 PM,Crooked Creek (below Bedrock),65.56158,-145.0924,Dissolved oxygen (DO),11.24,mg/l
7/20/2016,8:30:00 PM,Crooked Creek (below Bedrock),65.56158,-145.0924,pH,6.4,None
7/20/2016,8:30:00 PM,Crooked Creek (below Bedrock),65.56158,-145.0924,"Temperature, water",8.91,deg C
7/20/2016,8:30:00 PM,Crooked Creek (below Bedrock),65.56158,-145.0924,Specific conductance,89,uS/cm
7/20/2016,8:30:00 PM,Crooked Creek (below Bedrock),65.56158,-145.0924,Turbidity,11,NTU
7/20/2016,8:56:00 PM,Bedrock Creek,65.55677,-145.09042,Turbidity,8.67,NTU
7/21/2016,8:50:00 AM,Crooked Creek at BLM,65.57363,-144.80286,pH,5.28,None
7/21/2016,8:50:00 AM,Crooked Creek at BLM,65.57363,-144.80286,"Temperature, water",9.04,deg C
7/21/2016,8:50:00 AM,Crooked Creek at BLM,65.57363,-144.80286,Dissolved oxygen (DO),12.22,mg/l
7/21/2016,8:50:00 AM,Crooked Creek at BLM,65.57363,-144.80286,Specific conductance,108,uS/cm
7/21/2016,8:50:00 AM,Crooked Creek at BLM,65.57363,-144.80286,Turbidity,11.2,NTU
7/21/2016,9:00:00 AM,Crooked Creek at BLM,65.57363,-144.80286,Total suspended solids,17,mg/l
7/21/2016,10:24:00 AM,Upper Ketchem Creek,65.46334,-144.75496,Turbidity,5.8,NTU
7/21/2016,10:51:00 AM,Ketchem Creek,65.50849,-144.69472,Turbidity,8.4,NTU
7/21/2016,12:09:00 PM,Crooked Creek (below Bedrock),65.56158,-145.0924,Turbidity,9.9,NTU
7/21/2016,12:09:00 PM,Crooked Creek (below Bedrock),65.56158,-145.0924,Total suspended solids,21.4,mg/l
7/21/2016,12:15:00 PM,Bedrock Creek,65.55677,-145.09042,"Temperature, water",5.21,None
